'y-axis saved as y
'x 11bmb_8032SRC001-020.xye SigmaYobs Ycalc Diff
0.635787 795.697842 37.0536097 0 0
0.636786 826.712275 37.7285203 0 0
0.637784 770.040607 36.417788 0 0
0.638783 781.93471 36.7040721 0 0
0.639781 794.059093 36.8938242 0 0
0.64078 791.509626 36.7656507 0 0
0.641778 812.880315 37.3225832 0 0
0.642777 821.337249 37.4799512 0 0
0.643775 776.760967 36.5705999 0 0
0.644773 809.98312 37.2902948 0 0
0.645772 754.945813 35.8755315 0 0
0.64677 754.863214 35.8879832 0 0
0.647769 792.305745 36.9080437 0 0
0.648767 748.823328 35.9771874 0 0
0.649766 727.649524 35.6553103 0 0
0.650764 776.944168 36.8749547 0 0
0.651762 728.428779 35.7142478 0 0
0.652761 770.364059 36.7946888 0 0
0.653759 738.315296 35.9758613 0 0
0.654758 738.755213 36.2022968 0 0
0.655756 813.583693 37.9924473 0 0
0.656755 809.767985 37.8870883 0 0
0.657753 719.537365 35.6081564 0 0
0.658752 792.953005 37.3867799 0 0
0.65975 797.015699 37.5312434 0 0
0.660748 765.801433 36.9111716 0 0
0.661747 733.145834 36.0072028 0 0
0.662745 784.356804 37.1712483 0 0
0.663744 795.723787 37.3799048 0 0
0.664742 743.139107 36.0458592 0 0
0.665741 760.354014 36.5667091 0 0
0.666739 791.072971 37.2997668 0 0
0.667738 744.242821 36.1795697 0 0
0.668736 725.286946 35.5090781 0 0
0.669734 739.192239 35.9087677 0 0
0.670733 705.287792 35.1181712 0 0
0.671731 791.713187 37.2076897 0 0
0.67273 757.536303 36.4721658 0 0
0.673728 761.413355 36.3587722 0 0
0.674727 725.500212 35.4316299 0 0
0.675725 737.258261 35.7555555 0 0
0.676723 709.729348 35.0503893 0 0
0.677722 714.806264 35.2521974 0 0
0.67872 710.906931 35.1768649 0 0
0.679719 704.966682 34.9005561 0 0
0.680717 705.321109 34.874357 0 0
0.681716 722.436708 35.349784 0 0
0.682714 699.131638 34.7905417 0 0
0.683713 691.827141 34.6776451 0 0
0.684711 706.04566 35.0103966 0 0
0.685709 707.178886 34.9056764 0 0
0.686708 735.603861 35.6148686 0 0
0.687706 762.449053 36.0891877 0 0
0.688705 678.653486 34.1007352 0 0
0.689703 683.062528 34.2445408 0 0
0.690702 668.803465 33.8680154 0 0
0.6917 650.191077 33.340594 0 0
